date,EBITDAMargin,NetProfitMargin,priceCashFlowRatio,dividendYield,debtRatio,cashFlowToDebtRatio,operatingCashFlowPerShare,payoutRatio,dividendPayoutRatio
2019.0,-0.6565,-1.2589,0.0,0.0,0.1172,-0.29813515294837,-0.2523,0.0,0.0
2018.0,1.3167,1.156,0.0,0.0,0.1077,-0.40188277209385,-0.3863,0.0,-0.0
2017.0,-2.0437,-3.9771,0.0,0.0,0.5701,-0.64575188327161,-0.0685,0.0,0.0
