WRE,Washington Real Estate Investment Trust,REIT—Office
ROIC,Retail Opportunity Investments Corp,REIT—Retail
MAC,Macerich Company,REIT—Retail
MNR,Monmouth Real Estate Investment Corporation,REIT—Industrial
AKR,Acadia Realty Trust,REIT—Retail
DEA,"Easterly Government Properties, Inc",REIT—Office
GNL,"Global Net Lease, Inc",REIT—Office
LTC,"LTC Properties, Inc",REIT—Healthcare Facilities
KRG,Kite Realty Group Trust,REIT—Retail
IRT,"Independence Realty Trust, Inc",REIT—Residential
ILPT,Industrial Logistics Properties Trust,REIT—Industrial
SKT,"Tanger Factory Outlet Centers, Inc",REIT—Retail
ALX,"Alexanders, Inc",REIT—Retail
CLI,Mack-Cali Realty Corporation,REIT—Office
OPI,Office Properties Income Trust,REIT—Office
WPTIF,WPT Industrial Real Estate Investment Trust,REIT—Industrial
GTY,Getty Realty Corp,REIT—Retail
ALEX,"Alexander & Baldwin, Inc",REIT—Diversified
NXRT,"NexPoint Residential Trust, Inc",REIT—Residential
CHCT,Community Healthcare Trust Incorporated,REIT—Healthcare Facilities
DHC,Diversified Healthcare Trust,REIT—Healthcare Facilities
INN,"Summit Hotel Properties, Inc",REIT—Hotel & Motel
CXW,"CoreCivic, Inc",REIT—Specialty
AFIN,"American Finance Trust, Inc",REIT—Diversified
UHT,Universal Health Realty Income Trust,REIT—Healthcare Facilities
RPT,RPT Realty,REIT—Retail
BFS,"Saul Centers, Inc",REIT—Retail
AIV,Apartment Investment and Management Company,REIT—Residential
GEO,"The GEO Group, Inc",REIT—Healthcare Facilities
CSR,Centerspace,Real Estate Services
UMH,"UMH Properties, Inc",REIT—Residential
AHH,"Armada Hoffler Properties, Inc",REIT—Diversified
SRG,Seritage Growth Properties,REIT—Retail
GOOD,Gladstone Commercial Corporation,REIT—Diversified
GMRE,Global Medical REIT Inc,REIT—Healthcare Facilities
BPYU,Brookfield Property REIT Inc. - Class A,REIT—Retail
UBA,Urstadt Biddle Properties Inc,REIT—Retail
UBP,Urstadt Biddle Properties Inc,REIT—Retail
CLDT,Chatham Lodging Trust,REIT—Hotel & Motel
FSP,Franklin Street Properties Corp,REIT—Office
CPLG,CorePoint Lodging Inc,REIT—Hotel & Motel
NTST,NetSTREIT Corp.,REIT—Retail
APTS,"Preferred Apartment Communities, Inc",REIT—Residential
CTT,"CatchMark Timber Trust, Inc",REIT—Specialty
LAND,Gladstone Land Corporation,REIT—Industrial
CIO,"City Office REIT, Inc",REIT—Office
OLP,"One Liberty Properties, Inc",REIT—Diversified
HT,Hersha Hospitality Trust,REIT—Hotel & Motel
RVI,Retail Value Inc,REIT—Retail
WSR,Whitestone REIT,REIT—Retail
FPI,Farmland Partners Inc,REIT—Specialty
BRT,BRT Apartments Corp,REIT—Residential
AHT,"Ashford Hospitality Trust, Inc",REIT—Hotel & Motel
AFCG,"AFC Gamma, Inc.",REIT—Specialty
BHR,"Braemar Hotels & Resorts, Inc",REIT—Hotel & Motel
